# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue May 02 21:10:47 PDT 2023 [seed=1683087046578]
# -save_state saved_state -save_every 100000 -threads 1 -beagle_GPU -beagle_cuda -beagle_scaling dynamic infile.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
78000	-24923.873481615512	-224.40905197668928	-24699.46442963882	0.9048315192749562	20.264329003162715	5.196375748115771	1.0	1.0	-24699.46442963882	0.0	-222.76109056561566
79000	-24926.984096968223	-222.1183447980541	-24704.865752170168	0.9631759755957422	20.11350682730069	4.472767259171333	1.0	1.0	-24704.865752170168	0.0	-220.62033750733553
80000	-24916.24599269807	-222.8884077586888	-24693.357584939382	0.9595176673105382	20.254814022606716	3.8716038508497883	1.0	1.0	-24693.357584939382	0.0	-221.5347389057561
81000	-24914.966529652167	-221.17373522687316	-24693.792794425295	0.9812537026218474	20.163624530140098	4.404241538074668	1.0	1.0	-24693.792794425295	0.0	-219.69116716435894
82000	-24910.420230229018	-221.80640147163024	-24688.61382875739	0.9147258434335727	19.908086889138644	4.785271965374269	1.0	1.0	-24688.61382875739	0.0	-220.24085861127168
83000	-24927.56466206951	-223.80610216636305	-24703.758559903148	0.9859861170950961	20.543424933007444	4.79243466652489	1.0	1.0	-24703.758559903148	0.0	-222.23906360295965
84000	-24926.110849282653	-222.61670187720142	-24703.49414740545	0.9586559124023248	20.057585819194777	3.8668963173331794	1.0	1.0	-24703.49414740545	0.0	-221.26424967710713
85000	-24922.259160570797	-223.09142832245925	-24699.167732248337	0.9681005656026208	20.186061448057483	4.457446184015983	1.0	1.0	-24699.167732248337	0.0	-221.59685232490855
86000	-24923.529736546297	-223.07474164109308	-24700.454994905205	0.972404652911332	20.24653829876293	4.400705204200653	1.0	1.0	-24700.454994905205	0.0	-221.59297683932937
87000	-24928.366280412753	-222.77123801340176	-24705.59504239935	0.9363671658687525	20.19971757639452	4.627657433089329	1.0	1.0	-24705.59504239935	0.0	-221.2391872273179
88000	-24935.94270416687	-223.8698443803117	-24712.07285978656	0.9447360814197984	20.116921579240728	3.6350916973889023	1.0	1.0	-24712.07285978656	0.0	-222.57921004340258
89000	-24927.634148472167	-222.97092361227516	-24704.66322485989	0.9444370035631175	20.106786672628303	4.625363877101844	1.0	1.0	-24704.66322485989	0.0	-221.43936856827546
90000	-24930.232785113483	-223.28348197683994	-24706.949303136644	0.907235406331648	19.9534129894763	4.600436190824918	1.0	1.0	-24706.949303136644	0.0	-221.75733085374804
91000	-24920.074486614925	-225.7264788729386	-24694.348007741988	0.9333308182179465	20.52080669330134	4.251432927739222	1.0	1.0	-24694.348007741988	0.0	-224.2792227873597
92000	-24926.243579733167	-225.76265466507266	-24700.480925068096	0.9348103048801817	20.42778321055271	4.329092816210483	1.0	1.0	-24700.480925068096	0.0	-224.2972966562766
93000	-24931.43518869506	-224.6061700095364	-24706.829018685523	0.9046704153750369	19.960155599380755	3.79845668263294	1.0	1.0	-24706.829018685523	0.0	-223.27157516144894
94000	-24931.503731131757	-223.8589102273116	-24707.644820904447	0.931037645541315	20.07207760033491	4.48103862141393	1.0	1.0	-24707.644820904447	0.0	-222.3590553726173
95000	-24937.31119880173	-224.79073085529973	-24712.52046794643	0.9183469038089058	20.20987485257847	4.853602376655637	1.0	1.0	-24712.52046794643	0.0	-223.21100966798528
96000	-24943.082022991242	-228.33905224725873	-24714.742970743984	0.8864055319483297	20.79578987431766	5.177560740338544	1.0	1.0	-24714.742970743984	0.0	-226.6947182014439
97000	-24923.284074581265	-225.26482863315564	-24698.019245948108	0.8373421801216854	19.977906332071907	3.8314575312022052	1.0	1.0	-24698.019245948108	0.0	-223.92158334590667
98000	-24917.51381256833	-224.40568983992242	-24693.10812272841	0.8697590334982622	20.201167378068103	4.563655329703134	1.0	1.0	-24693.10812272841	0.0	-222.8875659301207
99000	-24922.67840788165	-223.21101723002906	-24699.46739065162	0.9639027257811534	20.154038918412596	4.695830328547768	1.0	1.0	-24699.46739065162	0.0	-221.66434227921482
100000	-24923.657207166576	-223.37498409000986	-24700.282223076567	0.9406155819030805	19.864975282099806	4.006844973093271	1.0	1.0	-24700.282223076567	0.0	-221.9869799481252
101000	-24925.435034743958	-222.90749368123568	-24702.527541062722	0.9273154832983873	19.94123546899327	5.018021056460194	1.0	1.0	-24702.527541062722	0.0	-221.29445803711448
102000	-24940.583899811158	-228.1626232519758	-24712.42127655918	0.9226949235570114	21.125231181689028	4.975688506923212	1.0	1.0	-24712.42127655918	0.0	-226.5580594975893
103000	-24931.497932591228	-227.04826485066718	-24704.449667740562	0.9931352404835908	20.786861974424266	4.458015032291583	1.0	1.0	-24704.449667740562	0.0	-225.55356124372813
104000	-24922.033049358048	-224.3787701786557	-24697.65427917939	0.9477269019905745	20.209987838817774	3.829148646327467	1.0	1.0	-24697.65427917939	0.0	-223.03612768572643
105000	-24923.90350134149	-222.9909120599355	-24700.912589281554	0.9512848263158821	20.07792827822082	3.8766217652378634	1.0	1.0	-24700.912589281554	0.0	-221.6359479646239
106000	-24937.215734761492	-226.594066596459	-24710.621668165033	1.0507296496534	20.949332252218372	3.9468582398291616	1.0	1.0	-24710.621668165033	0.0	-225.22114671635202
107000	-24925.272843378385	-224.6537419114889	-24700.619101466895	0.9603270904339969	20.442309266691794	3.891344193680893	1.0	1.0	-24700.619101466895	0.0	-223.2949872624728
108000	-24924.917286298507	-224.43224819749057	-24700.485038101015	0.9013015778471459	20.26138569988114	5.003776902388417	1.0	1.0	-24700.485038101015	0.0	-222.822055189735
109000	-24944.097043954593	-226.37196169602117	-24717.72508225857	0.9986688790558974	20.699911042812815	5.377442956954294	1.0	1.0	-24717.72508225857	0.0	-224.68974872164353
110000	-24921.782457066958	-224.97088231478565	-24696.811574752173	0.9612955087460753	20.317039231811954	5.104480366551548	1.0	1.0	-24696.811574752173	0.0	-223.3407636574681
111000	-24929.372943765215	-225.72355460291527	-24703.6493891623	0.8925665165780408	20.33147168653877	4.894692435099559	1.0	1.0	-24703.6493891623	0.0	-224.13540316136863
112000	-24923.36465130374	-225.4082975917653	-24697.956353711972	0.904315388359304	20.530478866545256	4.485948435238444	1.0	1.0	-24697.956353711972	0.0	-223.9073476503302
113000	-24944.28687219292	-227.5096219756291	-24716.77725021729	0.8965359759576953	20.31655673239936	5.713368866678736	1.0	1.0	-24716.77725021729	0.0	-225.7668131317749
114000	-24939.273588269396	-227.10387159619955	-24712.169716673197	0.9084591074277687	20.55039836785843	4.735938655866491	1.0	1.0	-24712.169716673197	0.0	-225.54869165143262
